filename,start,stop,manSp,netSp,conf
20220618_190000.wav,0,300,"['LALO', 'nan'] , ['LALO', 'nan', 'GWFG'] , ['nan', 'GWFG'] , ['PESA', 'nan', 'GWFG'] , ['PESA', 'LALO', 'nan'] , ['SESA', 'LALO', 'nan'] , ['SESA', 'nan']","GWFG , SESA","0.9164,0.9661"
AL33_20230618_180000.wav,0,300,"['bbpl', 'nan'] , ['RUTU', 'nan'] , ['wipt', 'nan'] , ['redpoll', 'nan']",RUTU,0.4222
AR93_20230720_160000.wav,0,300,"['na', 'nan']",nan,nan
20220606_160000.wav,0,300,"['DUNL', 'nan']",nan,nan
AL33_20230606_103000.wav,0,300,"['wipt', 'nan'] , ['gwfg', 'nan'] , ['unknown', 'nan'] , ['wipt', 'unknown', 'nan']",nan,nan
AR70_20230725_103000.wav,0,300,"['na', 'nan']",nan,nan
AL33_20230722_213000.wav,0,300,"['gull', 'nan'] , ['ltja', 'gull', 'nan']",nan,nan
AR97_20230616_133000.wav,0,300,"['LALO', 'nan'] , ['BBPL', 'nan']",nan,nan
AR70_20230715_203000.wav,0,300,"['na', 'nan']",nan,nan
AR91_20230613_090000.wav,0,300,"['LBDO', 'nan'] , ['nan', 'GWFG'] , ['RTLO', 'nan', 'GWFG'] , ['RTLO', 'nan'] , ['LALO', 'RTLO', 'nan'] , ['LALO', 'nan']",GWFG,0.9887
